iter	MultiClass
0	1.363716271
1	1.131911713
2	0.9824646294
3	0.8697711122
4	0.7842468458
5	0.7228874691
6	0.6718405769
7	0.6333640932
8	0.5949437146
9	0.567294609
10	0.544945323
11	0.5297062946
12	0.5160816606
13	0.4971621781
14	0.4830535516
15	0.4674423065
16	0.4554787248
17	0.4461403184
18	0.4369876078
19	0.4303578872
20	0.4231251626
21	0.4166041739
22	0.4139951604
23	0.4071098806
24	0.4001921062
25	0.3949415677
26	0.38745656
27	0.3840602464
28	0.3800119326
29	0.3758599809
30	0.3704974969
31	0.3673086394
32	0.3631025819
33	0.359990555
34	0.3573621376
35	0.3538031605
36	0.3501250536
37	0.3480807784
38	0.345835809
39	0.3431522116
40	0.3396990749
41	0.3373035925
42	0.3350201007
43	0.3315887948
44	0.3286701357
45	0.3263199069
46	0.3244137178
47	0.3233325605
48	0.3204290606
49	0.3192647531
50	0.3175578574
51	0.316585147
52	0.3157817417
53	0.3142565665
54	0.313285778
55	0.3121457239
56	0.3103422474
57	0.3077460009
58	0.3058534062
59	0.304241441
60	0.3033018212
61	0.3015158798
62	0.2997373623
63	0.2986869588
64	0.2981653768
65	0.2966344199
66	0.2956261719
67	0.2949146671
68	0.2931902428
69	0.291980663
70	0.2911347158
71	0.2900578053
72	0.2894597346
73	0.2886998868
74	0.2875347767
75	0.2858473038
76	0.2841953418
77	0.2829089845
78	0.2818062866
79	0.280912749
80	0.2798489292
81	0.2793260322
82	0.2785323137
83	0.2773348667
84	0.2765501438
85	0.2754705228
86	0.2743793064
87	0.2736158472
88	0.2731541826
89	0.2726058242
90	0.2723082492
91	0.2718848495
92	0.2714347096
93	0.2703652771
94	0.2696173784
95	0.2692395285
96	0.2682149948
97	0.2678669327
98	0.2674146019
99	0.2664053729
100	0.2657759621
101	0.2653193784
102	0.2648274798
103	0.2642858326
104	0.2636559462
105	0.2630868964
106	0.2628090333
107	0.262442435
108	0.2617179654
109	0.2611844725
110	0.2602410013
111	0.2595984131
112	0.2592032502
113	0.2586945846
114	0.2582345899
115	0.2576846893
116	0.257308175
117	0.2566730816
118	0.2561109426
119	0.2556660929
120	0.2551914028
121	0.2548242592
122	0.2546154558
123	0.2541642077
124	0.2534367387
125	0.2530511248
126	0.2524613427
127	0.2518143657
128	0.2511985058
129	0.2507829716
130	0.2498781611
131	0.2494463823
132	0.2491345159
133	0.2488551326
134	0.2483534878
135	0.2479846901
136	0.2472845027
137	0.2468572257
138	0.246486215
139	0.2459965434
140	0.2456159486
141	0.2453768611
142	0.2448103799
143	0.2443710327
144	0.2440038055
145	0.2435406861
146	0.24314176
147	0.2426071557
148	0.2420364989
149	0.2414845181
150	0.241092878
151	0.2406369931
152	0.2403615343
153	0.2401336273
154	0.2395549425
155	0.2391190835
156	0.2386670962
157	0.2383791771
158	0.2377965119
159	0.2372394968
160	0.2366452836
161	0.2364568013
162	0.2361316071
163	0.2359347584
164	0.2354580748
165	0.2352966617
166	0.2350557947
167	0.2346275814
168	0.2341845732
169	0.2338202
170	0.2333964205
171	0.2330253658
172	0.2320953117
173	0.2319552708
174	0.2314331531
175	0.2310671094
176	0.2305297966
177	0.2301416301
178	0.2296856886
179	0.2292414254
180	0.228698741
181	0.2281620422
182	0.2277517136
183	0.2273639982
184	0.2271359306
185	0.2268096508
186	0.2265625548
187	0.2259254128
188	0.2256131589
189	0.225343932
190	0.2251089079
191	0.2247924274
192	0.2245822998
193	0.2243169068
194	0.2237480267
195	0.2235154282
196	0.2232863291
197	0.2227100443
198	0.222490221
199	0.2223884071
