iter	Passed	Remaining
0	6	1266
1	13	1290
2	21	1392
3	28	1390
4	35	1390
5	43	1390
6	50	1390
7	57	1384
8	64	1372
9	71	1367
10	79	1362
11	86	1349
12	93	1345
13	100	1340
14	108	1332
15	115	1323
16	122	1314
17	128	1301
18	135	1288
19	141	1277
20	148	1267
21	155	1257
22	162	1247
23	169	1242
24	176	1235
25	183	1226
26	190	1218
27	196	1210
28	205	1209
29	213	1207
30	220	1202
31	227	1196
32	235	1190
33	242	1185
34	249	1177
35	257	1171
36	264	1166
37	272	1160
38	279	1155
39	287	1151
40	296	1150
41	305	1149
42	313	1146
43	322	1142
44	329	1136
45	337	1131
46	345	1124
47	353	1120
48	361	1114
49	369	1108
50	376	1101
51	384	1093
52	391	1086
53	400	1081
54	407	1074
55	414	1066
56	422	1060
57	430	1053
58	437	1045
59	445	1038
60	452	1031
61	460	1024
62	468	1018
63	476	1012
64	484	1005
65	498	1011
66	511	1014
67	535	1038
68	543	1031
69	553	1028
70	563	1023
71	571	1015
72	578	1006
73	586	998
74	594	990
75	602	982
76	610	975
77	618	967
78	626	958
79	633	950
80	641	942
81	648	933
82	655	924
83	663	916
84	670	907
85	677	898
86	685	890
87	693	882
88	700	873
89	706	864
90	714	855
91	721	846
92	728	837
93	735	829
94	742	820
95	750	812
96	758	805
97	765	797
98	773	789
99	781	781
100	790	775
101	798	767
102	806	759
103	814	751
104	821	743
105	829	735
106	837	727
107	844	719
108	852	711
109	860	703
110	868	696
111	875	688
112	883	680
113	891	672
114	898	664
115	905	655
116	913	647
117	920	639
118	928	632
119	935	623
120	943	616
121	951	608
122	958	600
123	966	592
124	973	584
125	981	576
126	988	568
127	996	560
128	1003	552
129	1011	544
130	1018	536
131	1026	528
132	1034	520
133	1042	513
134	1050	505
135	1058	498
136	1066	490
137	1074	482
138	1081	474
139	1089	466
140	1097	459
141	1105	451
142	1113	444
143	1121	436
144	1129	428
145	1136	420
146	1144	412
147	1151	404
148	1159	396
149	1167	389
150	1175	381
151	1183	373
152	1190	365
153	1197	357
154	1205	349
155	1212	341
156	1219	333
157	1226	325
158	1233	318
159	1240	310
160	1247	302
161	1254	294
162	1261	286
163	1268	278
164	1275	270
165	1282	262
166	1290	254
167	1298	247
168	1305	239
169	1313	231
170	1321	224
171	1329	216
172	1337	208
173	1344	200
174	1352	193
175	1359	185
176	1367	177
177	1375	170
178	1383	162
179	1391	154
180	1398	146
181	1406	139
182	1413	131
183	1420	123
184	1428	115
185	1436	108
186	1443	100
187	1451	92
188	1459	84
189	1466	77
190	1474	69
191	1481	61
192	1489	54
193	1496	46
194	1504	38
195	1511	30
196	1519	23
197	1527	15
198	1534	7
199	1541	0
