iter	MultiClass
0	1.658116817
1	1.467386987
2	1.325001745
3	1.21720188
4	1.129953717
5	1.053342301
6	0.9859697549
7	0.9312804666
8	0.8788392732
9	0.8370751725
10	0.796438338
11	0.7597033161
12	0.7289654936
13	0.7009698421
14	0.6750034463
15	0.6513083759
16	0.6313488105
17	0.6106072926
18	0.5943152085
19	0.5780820812
20	0.5622410598
21	0.5491152891
22	0.5339711422
23	0.5232739838
24	0.5126159245
25	0.5029839017
26	0.4948137269
27	0.4862220201
28	0.47707228
29	0.469017961
30	0.4623064451
31	0.4537968701
32	0.4474894238
33	0.4435926229
34	0.4372698329
35	0.431591342
36	0.4265351783
37	0.4224872864
38	0.4184079232
39	0.413362193
40	0.4093040894
41	0.4064823589
42	0.4016993708
43	0.3984379462
44	0.3954392324
45	0.3913890183
46	0.3877330085
47	0.3850826629
48	0.3822937801
49	0.3804107089
50	0.3777817645
51	0.375122547
52	0.3726453582
53	0.3707846941
54	0.3687496854
55	0.3667695266
56	0.3647955899
57	0.362144793
58	0.3600060168
59	0.3583272879
60	0.3571647554
61	0.3550598023
62	0.3523936971
63	0.3514036183
64	0.3502428422
65	0.3478485981
66	0.3459681116
67	0.3433010279
68	0.3419273313
69	0.3404199788
70	0.3390481659
71	0.3375808581
72	0.3358904085
73	0.333594456
74	0.3322440684
75	0.3306821465
76	0.3291785235
77	0.3283542684
78	0.32721045
79	0.3261082138
80	0.3244407715
81	0.3232776329
82	0.3223823857
83	0.3215854753
84	0.3206207841
85	0.3193918905
86	0.3181975136
87	0.3169216977
88	0.3153778746
89	0.3141016135
90	0.3130246742
91	0.3123278483
92	0.3114061293
93	0.3102314444
94	0.3091484997
95	0.3083454641
96	0.3074921971
97	0.3068549138
98	0.3062709535
99	0.3056676748
100	0.3043342459
101	0.3032120476
102	0.3025570524
103	0.3017890328
104	0.3009929986
105	0.3002644984
106	0.2993506911
107	0.2983785922
108	0.2971761312
109	0.2965322513
110	0.2957477974
111	0.2950036422
112	0.2939729958
113	0.2930211498
114	0.2924374871
115	0.291952361
116	0.2913619301
117	0.2907878349
118	0.2900929272
119	0.2897192915
120	0.2891235634
121	0.2885054039
122	0.2880031642
123	0.2873680665
124	0.2868243188
125	0.2861185746
126	0.2854519719
127	0.284811526
128	0.28389126
129	0.2830270465
130	0.2824094605
131	0.2820256396
132	0.2814987789
133	0.2809570783
134	0.2802193898
135	0.2797337391
136	0.279314406
137	0.2785552383
138	0.2782387434
139	0.2775818016
140	0.2768328578
141	0.2761664358
142	0.2754946826
143	0.2750663124
144	0.2744247397
145	0.2740907932
146	0.2736581815
147	0.2732011432
148	0.2727705843
149	0.2720427823
150	0.2716009809
151	0.2712401438
152	0.2707118954
153	0.2703990714
154	0.270121385
155	0.2695054354
156	0.2692404482
157	0.2688535179
158	0.2684252958
159	0.2678460651
160	0.2674788408
161	0.2668948941
162	0.2665859983
163	0.2659788053
164	0.2654653698
165	0.2650303844
166	0.2644741785
167	0.2640907519
168	0.263789885
169	0.26345717
170	0.2631836334
171	0.2627596027
172	0.2623380771
173	0.261921642
174	0.2615947752
175	0.2612483827
176	0.2607891781
177	0.2601104489
178	0.2597541117
179	0.2590886304
180	0.2587284869
181	0.2583269299
182	0.2580148947
183	0.2577321912
184	0.2573755787
185	0.2570251654
186	0.2566485416
187	0.2563049787
188	0.2559919296
189	0.2556687727
190	0.2553829033
191	0.2550341495
192	0.254586855
193	0.2541798268
194	0.2536372867
195	0.2530515369
196	0.2525471905
197	0.2519427238
198	0.2514979039
199	0.251337619
200	0.2511262281
201	0.2506916861
202	0.2505069568
203	0.2501752007
204	0.2498995181
205	0.2495938659
206	0.2491094071
207	0.2489056858
208	0.2485277973
209	0.2481305168
210	0.2479490687
211	0.2475903914
212	0.2472704273
213	0.2469857536
214	0.2467063161
215	0.2462322641
216	0.2460466004
217	0.2458484617
218	0.2457320362
219	0.245453951
220	0.2451237615
221	0.2447695598
222	0.2444843103
223	0.2443298671
224	0.2440819419
225	0.2438613969
226	0.2434613138
227	0.2432478189
228	0.2429711498
229	0.2427165468
230	0.2424978864
231	0.2422644065
232	0.2418847131
233	0.2415330262
234	0.2410610501
235	0.2407138665
236	0.2404553315
237	0.2401276426
238	0.2398938359
239	0.2395549489
240	0.2393190066
241	0.23910294
242	0.2389505312
243	0.2386304457
244	0.2384301777
245	0.2381929148
246	0.2378114327
247	0.2374982098
248	0.2372786728
249	0.2368529725
250	0.2364975463
251	0.2363731338
252	0.2360483276
253	0.2358118318
254	0.2356275893
255	0.2352761924
256	0.2347170555
257	0.2345686532
258	0.2342766314
259	0.2341484656
260	0.2339324414
261	0.2336705461
262	0.2335112829
263	0.2332946266
264	0.2330913701
265	0.2327256494
266	0.2325259542
267	0.2322990463
268	0.2318562291
269	0.2316495677
270	0.2313628882
271	0.2310841828
272	0.2308042478
273	0.2306296346
274	0.2304314988
275	0.2301638118
276	0.229998417
277	0.2296215978
278	0.2295090068
279	0.2292169751
280	0.2289105539
281	0.2286855799
282	0.2282533763
283	0.2281051624
284	0.2278757213
285	0.227450383
286	0.2271550781
287	0.2269149109
288	0.2266781935
289	0.2264698524
290	0.2262695363
291	0.2259561557
292	0.2257790989
293	0.2256064573
294	0.225349632
295	0.2251358856
296	0.2248638545
297	0.2245959343
298	0.2242682161
299	0.2240710894
300	0.2238378044
301	0.2235667134
302	0.2231330369
303	0.2229916727
304	0.2227969491
305	0.2226967272
306	0.2225450746
307	0.2224173203
308	0.2221871283
309	0.2219649921
310	0.2217627327
311	0.2215482828
312	0.2212744383
313	0.2210279824
314	0.2208046811
315	0.2206249417
316	0.2204361468
317	0.2203066112
318	0.2201434079
319	0.2199167691
320	0.2196526633
321	0.2194244555
322	0.2191947629
323	0.2189092686
324	0.2185789062
325	0.2183296529
326	0.218221397
327	0.217871118
328	0.2176535775
329	0.217509383
330	0.217378184
331	0.2172109085
332	0.2169104064
333	0.2167450208
334	0.2165107072
335	0.2162343737
336	0.2160538024
337	0.215817409
338	0.2156652143
339	0.2154706956
340	0.215273313
341	0.2151475179
342	0.2149383197
343	0.2147939081
344	0.214610235
345	0.2143372412
346	0.2141241105
347	0.2137890121
348	0.2135961451
349	0.2133812696
350	0.2132038597
351	0.2130129486
352	0.2127008051
353	0.2125863826
354	0.2123652811
355	0.2121162988
356	0.2118676948
357	0.2117043672
358	0.2115081005
359	0.2113897549
360	0.2111083357
361	0.2109428137
362	0.2107456247
363	0.2105757336
364	0.2104644171
365	0.2100844666
366	0.2099362647
367	0.2096762645
368	0.2093366714
369	0.2091195634
370	0.2088400763
371	0.2086553382
372	0.2084353015
373	0.2083313409
374	0.2079934714
375	0.2079150539
376	0.2076542048
377	0.207480427
378	0.2073271479
379	0.2070366925
380	0.2068947972
381	0.2067039289
382	0.2065279362
383	0.2064320724
384	0.206165149
385	0.2060901749
386	0.2059426836
387	0.2057162473
388	0.2055788962
389	0.2054260457
390	0.2052857035
391	0.2051036262
392	0.2049232638
393	0.2048039025
394	0.2045422553
395	0.2043622259
396	0.2042457518
397	0.2041194259
398	0.2038855983
399	0.2037389377
400	0.2035543022
401	0.2034085768
402	0.2033127867
403	0.2031791781
404	0.2030014948
405	0.202828675
406	0.202637666
407	0.2025019728
408	0.2023304601
409	0.2022127623
410	0.2019962285
411	0.2019027695
412	0.2018259291
413	0.2016887931
414	0.2015712911
415	0.201366811
416	0.2012110527
417	0.2010367092
418	0.2008292521
419	0.2006796576
420	0.2005616955
421	0.2003863856
422	0.2002335407
423	0.2000671382
424	0.1998974269
425	0.1997154814
426	0.1995753987
427	0.1993750505
428	0.19925419
429	0.198963935
430	0.1986823018
431	0.1984433152
432	0.1983540874
433	0.1982037385
434	0.1980573491
435	0.1979445865
436	0.1977798434
437	0.1974618883
438	0.1972632843
439	0.1971079065
440	0.1968096101
441	0.1966347
442	0.196379933
443	0.1962737671
444	0.196150216
445	0.1959535854
446	0.1957479576
447	0.1956501541
448	0.195524466
449	0.1952989088
450	0.1952489989
451	0.1951278547
452	0.194966711
453	0.1948204836
454	0.1947374845
455	0.1946358324
456	0.194466375
457	0.1943258961
458	0.194218886
459	0.1939781728
460	0.1937935557
461	0.1936464282
462	0.1933330418
463	0.1931898963
464	0.1930717696
465	0.1929579667
466	0.1928232443
467	0.1926659014
468	0.1925167153
469	0.1924170301
470	0.1922129067
471	0.1919958723
472	0.1917788251
473	0.1916768974
474	0.1914873789
475	0.1912398265
476	0.1910832937
477	0.190853741
478	0.1907066862
479	0.1905865054
480	0.190330565
481	0.1901774909
482	0.190017179
483	0.1899300966
484	0.1898577179
485	0.1895950948
486	0.1894250209
487	0.1892119795
488	0.1891133126
489	0.1888520175
490	0.1886041759
491	0.1883534838
492	0.1881949489
493	0.188052484
494	0.18795006
495	0.1877834945
496	0.1876789606
497	0.1875147721
498	0.1873707192
499	0.1872583942
500	0.1871627338
501	0.187095482
502	0.18704932
503	0.1868729101
504	0.1866845371
505	0.1864305923
506	0.1862591974
507	0.1861028368
508	0.1860103694
509	0.1859205025
510	0.185830176
511	0.1857563649
512	0.1855668838
513	0.1853073946
514	0.1852104733
515	0.1849975228
516	0.184796418
517	0.1846459126
518	0.1844652621
519	0.1842592285
520	0.184103856
521	0.1839613183
522	0.1838854584
523	0.1837335911
524	0.1836123637
525	0.1835301857
526	0.183392965
527	0.1832757443
528	0.1830581964
529	0.1829144082
530	0.1827466825
531	0.1826060563
532	0.1824572107
533	0.1823626787
534	0.1820541929
535	0.1819181892
536	0.1818023262
537	0.1816370645
538	0.1814669775
539	0.1813410271
540	0.1812756839
541	0.1811634079
542	0.1809997373
543	0.1809153132
544	0.180795756
545	0.1806818056
546	0.1805243779
547	0.1803802716
548	0.180281171
549	0.1801615221
550	0.1800327669
551	0.1798916764
552	0.1797786879
553	0.1795389658
554	0.179416297
555	0.1793417217
556	0.1792328937
557	0.1790876982
558	0.1789381824
559	0.1787091573
560	0.1785532175
561	0.1784368775
562	0.1783165931
563	0.1781130793
564	0.1780112147
565	0.1778252915
566	0.177583818
567	0.1775190186
568	0.1773201214
569	0.1771200658
570	0.1770224103
571	0.1769543977
572	0.176868471
573	0.1767933729
574	0.1767061165
575	0.1765688756
576	0.1764562443
577	0.176351663
578	0.1761084261
579	0.1759454943
580	0.1758497935
581	0.175736084
582	0.1756983817
583	0.1755674622
584	0.1754537991
585	0.175326442
586	0.1751912366
587	0.1749778354
588	0.1747843373
589	0.1746276738
590	0.1745584041
591	0.1744991245
592	0.1743425612
593	0.1742312248
594	0.1740885465
595	0.1739546951
596	0.1738807566
597	0.1737622706
598	0.1736773035
599	0.1735672423
600	0.1734207896
601	0.1732844178
602	0.1731839376
603	0.1729632745
604	0.172846867
605	0.1727411921
606	0.1726842786
607	0.1725000155
608	0.1723420026
609	0.1721857465
610	0.1721154802
611	0.1719108127
612	0.1717741212
613	0.1716728252
614	0.1713994634
615	0.1712723142
616	0.1711506578
617	0.1710294223
618	0.170832891
619	0.1707641858
620	0.1706737696
621	0.1706187129
622	0.1704821431
623	0.1703305981
624	0.1701807434
625	0.1700418088
626	0.1698729764
627	0.1697121414
628	0.1695319176
629	0.1694097967
630	0.1693450572
631	0.1692303769
632	0.1691600302
633	0.1690094538
634	0.1689598992
635	0.1688223883
636	0.1686540974
637	0.168565336
638	0.1683796651
639	0.1683011647
640	0.16825023
641	0.1681093937
642	0.1679785823
643	0.1679277737
644	0.1677590518
645	0.1676819892
646	0.1675958589
647	0.1675010065
648	0.1674139457
649	0.1673148473
650	0.1672099223
651	0.1671298406
652	0.1669021765
653	0.166808349
654	0.166700128
655	0.1666100963
656	0.1665271779
657	0.1664595951
658	0.1663547263
659	0.1662136739
660	0.166010859
661	0.1658246847
662	0.1657644314
663	0.1656375036
664	0.1654365669
665	0.1653405732
666	0.1652491585
667	0.1651838771
668	0.1650623601
669	0.1648979362
670	0.1647485742
671	0.1646539899
672	0.1644528341
673	0.1643555371
674	0.1641747292
675	0.1640338769
676	0.1639552339
677	0.1638695816
678	0.1637678248
679	0.1636516652
680	0.1635570918
681	0.1633935561
682	0.1631728102
683	0.1630825024
684	0.1628928701
685	0.1628075869
686	0.1626882474
687	0.162510495
688	0.162312545
689	0.1621831044
690	0.162029198
691	0.1618219991
692	0.1617485086
693	0.161629807
694	0.1615532148
695	0.161471769
696	0.1613823795
697	0.1612644035
698	0.1611363801
699	0.1610117987
700	0.1608605632
701	0.1607621778
702	0.1606093088
703	0.1603933023
704	0.1603205128
705	0.1602283931
706	0.1601222032
707	0.1600489852
708	0.1599056802
709	0.1597856592
710	0.1597017182
711	0.1595955128
712	0.1595082673
713	0.1592077959
714	0.1590929978
715	0.1589602079
716	0.158708347
717	0.158647304
718	0.1585214964
719	0.1584410663
720	0.1583392259
721	0.1582673694
722	0.1582098382
723	0.1579831063
724	0.1578685924
725	0.1577966671
726	0.1577329081
727	0.1576080556
728	0.1574183426
729	0.1573165959
730	0.1571047827
731	0.1569746305
732	0.1568102632
733	0.1566408588
734	0.1565012417
735	0.1562744175
736	0.1561962264
737	0.1561165674
738	0.155987512
739	0.1558147453
740	0.1556494158
741	0.1555322808
742	0.1554240311
743	0.1553346201
744	0.1552274186
745	0.1551379313
746	0.1549494572
747	0.1548320067
748	0.1547186613
749	0.1546236089
750	0.1545341964
751	0.1544752762
752	0.1543769262
753	0.1542740394
754	0.1542050638
755	0.1541208075
756	0.1540181401
757	0.1539564235
758	0.1538052347
759	0.1536318377
760	0.1534684764
761	0.1533333868
762	0.153265223
763	0.1531558226
764	0.1530189524
765	0.1529496471
766	0.152889047
767	0.1528377908
768	0.1527569371
769	0.1526306144
770	0.1525312335
771	0.1524046296
772	0.1523134264
773	0.1522436116
774	0.1521749516
775	0.1520894464
776	0.1520136927
777	0.1518931418
778	0.1517633551
779	0.1516510133
780	0.1515126189
781	0.1513873511
782	0.1512292636
783	0.1511707822
784	0.1511064279
785	0.1510586672
786	0.1509810447
787	0.1509366387
788	0.1508266383
789	0.1507569695
790	0.1506189542
791	0.1505252382
792	0.1504368748
793	0.1503811602
794	0.150250243
795	0.1500912221
796	0.1499617258
797	0.1497836418
798	0.1496736458
799	0.1494782222
800	0.149402868
801	0.1492531556
802	0.1492038547
803	0.1491268399
804	0.1490313032
805	0.1489400611
806	0.1488307232
807	0.1486590927
808	0.1485743829
809	0.1484444199
810	0.1483480991
811	0.1482959353
812	0.1482505651
813	0.1481918404
814	0.1481530251
815	0.1480786981
816	0.1480330632
817	0.1479024836
818	0.1478301709
819	0.1477154454
820	0.1476342041
821	0.1474764395
822	0.1473678756
823	0.1473081801
824	0.1471958983
825	0.1471544898
826	0.147069699
827	0.146976057
828	0.1468943944
829	0.1468262933
830	0.1466985006
831	0.1466233294
832	0.1465440983
833	0.1464246778
834	0.1463591293
835	0.1463126292
836	0.1462073148
837	0.1461534992
838	0.1460840165
