iter	Passed	Remaining
0	8	8467
1	18	9375
2	29	9661
3	39	9880
4	50	10022
5	62	10295
6	74	10637
7	86	10720
8	97	10757
9	109	10846
10	120	10854
11	133	10964
12	144	10935
13	154	10878
14	165	10872
15	176	10857
16	186	10776
17	197	10801
18	208	10790
19	220	10804
20	233	10885
21	245	10901
22	257	10943
23	270	11018
24	284	11076
25	296	11094
26	315	11370
27	326	11342
28	337	11308
29	349	11292
30	360	11256
31	371	11244
32	383	11225
33	393	11191
34	405	11169
35	416	11144
36	426	11092
37	437	11077
38	449	11073
39	462	11106
40	475	11130
41	486	11097
42	497	11069
43	507	11036
44	518	11011
45	529	10973
46	539	10948
47	550	10915
48	560	10871
49	569	10829
50	580	10804
51	590	10771
52	601	10740
53	610	10702
54	621	10672
55	631	10640
56	642	10631
57	653	10620
58	663	10579
59	673	10550
60	683	10521
61	693	10494
62	703	10467
63	713	10435
64	723	10408
65	734	10398
66	745	10384
67	757	10382
68	767	10359
69	777	10334
70	788	10311
71	797	10281
72	807	10257
73	817	10225
74	827	10206
75	838	10200
76	848	10176
77	858	10143
78	868	10120
79	877	10094
80	888	10076
81	899	10071
82	909	10049
83	920	10032
84	930	10014
85	940	9998
86	951	9984
87	962	9980
88	973	9964
89	984	9957
90	995	9946
91	1007	9943
92	1019	9942
93	1029	9927
94	1041	9920
95	1052	9914
96	1064	9912
97	1076	9906
98	1087	9900
99	1099	9896
100	1111	9893
101	1124	9901
102	1135	9888
103	1145	9870
104	1155	9846
105	1164	9825
106	1174	9801
107	1184	9785
108	1195	9769
109	1204	9749
110	1215	9733
111	1226	9726
112	1236	9703
113	1247	9698
114	1260	9697
115	1272	9700
116	1286	9706
117	1298	9706
118	1313	9727
119	1326	9727
120	1339	9728
121	1350	9719
122	1362	9717
123	1374	9713
124	1385	9699
125	1396	9683
126	1407	9678
127	1420	9674
128	1431	9668
129	1445	9673
130	1458	9676
131	1471	9678
132	1485	9683
133	1497	9678
134	1510	9680
135	1523	9678
136	1536	9677
137	1548	9672
138	1560	9666
139	1572	9661
140	1584	9650
141	1597	9650
142	1608	9640
143	1620	9630
144	1631	9621
145	1644	9619
146	1656	9615
147	1671	9622
148	1684	9618
149	1698	9622
150	1711	9622
151	1723	9617
152	1735	9609
153	1749	9610
154	1766	9631
155	1785	9659
156	1801	9672
157	1815	9676
158	1831	9687
159	1847	9701
160	1861	9701
161	1877	9710
162	1892	9716
163	1907	9725
164	1924	9737
165	1937	9732
166	1954	9750
167	1971	9764
168	1987	9771
169	2003	9779
170	2018	9784
171	2033	9790
172	2047	9789
173	2064	9798
174	2076	9789
175	2092	9796
176	2112	9820
177	2127	9825
178	2142	9825
179	2155	9818
180	2167	9807
181	2178	9791
182	2190	9777
183	2200	9758
184	2210	9737
185	2222	9724
186	2235	9718
187	2248	9710
188	2257	9688
189	2268	9669
190	2278	9649
191	2288	9628
192	2297	9608
193	2310	9599
194	2320	9579
195	2332	9565
196	2342	9549
197	2353	9533
198	2363	9513
199	2372	9491
200	2382	9470
201	2394	9459
202	2403	9437
203	2414	9419
204	2423	9400
205	2434	9381
206	2444	9362
207	2454	9344
208	2464	9328
